Sleep Score 4 Weeks,Score,Resting Heart Rate,Body Battery,Pulse Ox,Respiration,Skin Temp Change,HRV Status,Quality,Duration,Sleep Need,Bedtime,Wake Time
Dec 31,50,66,24,--,15,+0.4°,28,Poor,6h 20min,7h 20min,1:24,9:37
Dec 30,58,66,32,--,15,-0.4°,27,Poor,7h 56min,7h 0min,0:48,9:52
Dec 29,74,59,43,--,15,-0.5°,28,Fair,6h 59min,7h 0min,1:17,9:07
Dec 28,77,63,31,--,15,+0.1°,28,Fair,8h 28min,7h 40min,0:30,9:32
Dec 27,74,64,42,--,16,+0.5°,28,Fair,8h 38min,7h 0min,1:28,10:44
Dec 26,53,62,39,--,15,+0.1°,28,Poor,8h 9min,7h 40min,22:39,8:13
Dec 25,48,60,36,--,15,+0.2°,29,Poor,6h 48min,7h 40min,23:22,7:51
Dec 24,62,64,35,--,16,+0.4°,29,Fair,6h 56min,7h 10min,0:16,8:01
Dec 23,72,66,31,--,15,-0.5°,29,Fair,8h 39min,7h 0min,0:30,9:33
Dec 22,59,60,46,--,14,+0.3°,30,Poor,7h 4min,7h 0min,23:16,8:00
Dec 21,77,61,44,--,16,+0.3°,29,Fair,8h 40min,7h 20min,1:25,10:43
Dec 20,53,64,25,--,15,+0.1°,29,Poor,6h 51min,7h 0min,1:00,8:53
Dec 19,70,62,52,--,15,+0.2°,29,Fair,8h 7min,7h 0min,1:08,10:07
Dec 18,73,64,36,--,16,0°,29,Fair,7h 20min,7h 0min,1:01,9:03
Dec 17,75,61,58,--,16,0°,29,Fair,9h 55min,7h 20min,23:45,10:33
Dec 16,68,58,40,--,15,-0.8°,29,Fair,6h 50min,7h 0min,0:32,8:49
Dec 15,77,62,60,--,16,0°,30,Fair,6h 52min,8h 0min,0:55,8:15
Dec 14,68,63,38,--,16,+1°,30,Fair,7h 30min,7h 10min,23:14,8:00
Dec 13,50,64,34,--,15,0°,31,Poor,7h 53min,8h 10min,23:29,9:05
Dec 12,51,63,36,--,16,-0.2°,33,Poor,6h 54min,7h 10min,0:22,8:58
Dec 11,77,61,48,--,16,+0.4°,32,Fair,7h 32min,7h 0min,1:24,9:39
Dec 10,64,61,40,--,16,-0.3°,32,Fair,6h 51min,7h 20min,0:49,8:55
Dec 9,64,58,45,--,15,-0.1°,31,Fair,7h 12min,7h 0min,0:51,9:33
Dec 8,74,59,44,--,15,-0.2°,32,Fair,8h 5min,7h 0min,0:30,9:34
Dec 7,84,57,33,--,15,-0.1°,31,Good,8h 48min,7h 10min,1:00,10:01
Dec 6,79,60,56,--,16,+0.5°,31,Fair,7h 1min,7h 20min,1:50,9:35
Dec 5,68,59,44,--,16,+0.1°,30,Fair,7h 26min,7h 0min,1:22,9:39
Dec 4,82,63,47,--,15,+0.3°,30,Good,7h 6min,7h 0min,1:01,8:43
